City,State,Cost of Living Index,State_Code,State_Name,Mean,Median,county_name,population,density,timezone,zips,Total.Math,Total.Verbal,Academic Subjects.English.Average GPA,Academic Subjects.Mathematics.Average GPA,average_temp_january,average_temp_february,average_temp_march,average_temp_april,average_temp_may,average_temp_june,average_temp_july,average_temp_august,average_temp_september,average_temp_october,average_temp_november,average_temp_december,safety_index
albany,ga,87.3,13,georgia,41702,29478,Dougherty,83447,483.3,America/New_York,31705 31721 31701 31707 31702 31703 31706 31708,486,490,3.47,3.26,49.53,49.39,54.55,60.57000000000001,67.63,74.94,79.42,80.11,77.80000000000001,71.45555555555556,61.1,53.58888888888889,622.5900000000001
albany,ga,87.3,13,georgia,41702,29478,Dougherty,83447,483.3,America/New_York,31705 31721 31701 31707 31702 31703 31706 31708,486,490,3.47,3.26,49.53,49.39,54.55,60.57000000000001,67.63,74.94,79.42,80.11,77.80000000000001,71.45555555555556,61.1,53.58888888888889,439.8975
albany,ga,87.3,13,georgia,41702,29478,Dougherty,83447,483.3,America/New_York,31705 31721 31701 31707 31702 31703 31706 31708,486,490,3.47,3.26,49.53,49.39,54.55,60.57000000000001,67.63,74.94,79.42,80.11,77.80000000000001,71.45555555555556,61.1,53.58888888888889,504.02
albany,or,105.4,41,oregon,71180,68143,Linn,56348,1232.1,America/Los_Angeles,97321 97322,523,524,3.55,3.31,33.230000000000004,34.8,38.03,42.93,48.9,56.4,64.19,67.77000000000001,62.96666666666667,53.833333333333336,44.17777777777778,35.97777777777778,622.5900000000001
albany,or,105.4,41,oregon,71180,68143,Linn,56348,1232.1,America/Los_Angeles,97321 97322,523,524,3.55,3.31,33.230000000000004,34.8,38.03,42.93,48.9,56.4,64.19,67.77000000000001,62.96666666666667,53.833333333333336,44.17777777777778,35.97777777777778,439.8975
albany,or,105.4,41,oregon,71180,68143,Linn,56348,1232.1,America/Los_Angeles,97321 97322,523,524,3.55,3.31,33.230000000000004,34.8,38.03,42.93,48.9,56.4,64.19,67.77000000000001,62.96666666666667,53.833333333333336,44.17777777777778,35.97777777777778,504.02
albany,ny,100.1,36,new york,46221,27906,Albany,590694,1798.3,America/New_York,12208 12209 12204 12206 12207 12202 12203 12205 12210 12226 12222 12201 12223 12228 12229 12230 12231 12232 12233 12234 12235 12236 12237 12238 12239 12240 12241 12242 12243 12244 12245 12246 12248 12250 12255 12257 12260 12261,502,489,3.41,3.15,25.51,22.45,27.27,37.22,49.98,60.42999999999999,66.99,68.94,64.69999999999999,56.13333333333333,43.91111111111111,33.166666666666664,622.5900000000001
albany,ny,100.1,36,new york,46221,27906,Albany,590694,1798.3,America/New_York,12208 12209 12204 12206 12207 12202 12203 12205 12210 12226 12222 12201 12223 12228 12229 12230 12231 12232 12233 12234 12235 12236 12237 12238 12239 12240 12241 12242 12243 12244 12245 12246 12248 12250 12255 12257 12260 12261,502,489,3.41,3.15,25.51,22.45,27.27,37.22,49.98,60.42999999999999,66.99,68.94,64.69999999999999,56.13333333333333,43.91111111111111,33.166666666666664,439.8975
albany,ny,100.1,36,new york,46221,27906,Albany,590694,1798.3,America/New_York,12208 12209 12204 12206 12207 12202 12203 12205 12210 12226 12222 12201 12223 12228 12229 12230 12231 12232 12233 12234 12235 12236 12237 12238 12239 12240 12241 12242 12243 12244 12245 12246 12248 12250 12255 12257 12260 12261,502,489,3.41,3.15,25.51,22.45,27.27,37.22,49.98,60.42999999999999,66.99,68.94,64.69999999999999,56.13333333333333,43.91111111111111,33.166666666666664,504.02
alexandria,la,86.2,22,louisiana,59070,43651,Rapides,77109,611.6,America/Chicago,71302 71303 71301 71307 71309 71315 71348,561,564,3.65,3.5,51.92,51.77,57.39,63.620000000000005,70.2,77.27000000000001,81.53,82.31,80.56666666666666,74.32222222222222,63.888888888888886,56.16666666666666,1778.28
alexandria,la,86.2,22,louisiana,59070,43651,Rapides,77109,611.6,America/Chicago,71302 71303 71301 71307 71309 71315 71348,561,564,3.65,3.5,51.92,51.77,57.39,63.620000000000005,70.2,77.27000000000001,81.53,82.31,80.56666666666666,74.32222222222222,63.888888888888886,56.16666666666666,264.2425
auburn,ny,93.7,36,new york,33105,27876,Cayuga,26674,1235.6,America/New_York,13021 13024 13022,502,489,3.41,3.15,25.51,22.45,27.27,37.22,49.98,60.42999999999999,66.99,68.94,64.69999999999999,56.13333333333333,43.91111111111111,33.166666666666664,757.415
auburn,ny,93.7,36,new york,33105,27876,Cayuga,26674,1235.6,America/New_York,13021 13024 13022,502,489,3.41,3.15,25.51,22.45,27.27,37.22,49.98,60.42999999999999,66.99,68.94,64.69999999999999,56.13333333333333,43.91111111111111,33.166666666666664,369.1525
auburn,al,91.9,1,alabama,59694,38029,Lee,105386,476.6,America/Chicago,36849 36832 36830 36831,541,547,3.67,3.47,47.94,47.85,53.67,59.98,67.05,74.59,79.2,79.95,77.9,71.35555555555555,60.15555555555555,52.16666666666666,757.415
auburn,al,91.9,1,alabama,59694,38029,Lee,105386,476.6,America/Chicago,36849 36832 36830 36831,541,547,3.67,3.47,47.94,47.85,53.67,59.98,67.05,74.59,79.2,79.95,77.9,71.35555555555555,60.15555555555555,52.16666666666666,369.1525
baton rouge,la,91.1,22,louisiana,56178,39487,East Baton Rouge,635671,1001.4,America/Chicago,70836 70808 70809 70802 70803 70801 70806 70807 70805 70820 70825 70819 70813 70812 70815 70814 70816 70804 70821 70822 70823 70827 70831 70833 70835 70873 70874 70891 70892 70893 70894 70895 70898,561,564,3.65,3.5,51.92,51.77,57.39,63.620000000000005,70.2,77.27000000000001,81.53,82.31,80.56666666666666,74.32222222222222,63.888888888888886,56.16666666666666,470.62750000000005
baton rouge,la,91.1,22,louisiana,56178,39487,East Baton Rouge,635671,1001.4,America/Chicago,70836 70808 70809 70802 70803 70801 70806 70807 70805 70820 70825 70819 70813 70812 70815 70814 70816 70804 70821 70822 70823 70827 70831 70833 70835 70873 70874 70891 70892 70893 70894 70895 70898,561,564,3.65,3.5,51.92,51.77,57.39,63.620000000000005,70.2,77.27000000000001,81.53,82.31,80.56666666666666,74.32222222222222,63.888888888888886,56.16666666666666,470.9515
bloomington,in,92.4,18,indiana,65041,300000,Monroe,108387,1312.0,America/Indiana/Indianapolis,47405 47408 47401 47403 47404 47406 47407,501,496,3.41,3.17,31.3,28.85,35.3,45.9,57.15,67.45,72.88,73.28,70.26666666666667,61.977777777777774,48.62222222222223,37.922222222222224,348.015
bloomington,in,92.4,18,indiana,65041,300000,Monroe,108387,1312.0,America/Indiana/Indianapolis,47405 47408 47401 47403 47404 47406 47407,501,496,3.41,3.17,31.3,28.85,35.3,45.9,57.15,67.45,72.88,73.28,70.26666666666667,61.977777777777774,48.62222222222223,37.922222222222224,403.375
bloomington,in,92.4,18,indiana,65041,300000,Monroe,108387,1312.0,America/Indiana/Indianapolis,47405 47408 47401 47403 47404 47406 47407,501,496,3.41,3.17,31.3,28.85,35.3,45.9,57.15,67.45,72.88,73.28,70.26666666666667,61.977777777777774,48.62222222222223,37.922222222222224,255.27000000000004
cleveland,tn,89.5,47,tennessee,61017,44909,Bradley,72870,597.0,America/New_York,37312 37311 37320,574,581,3.7,3.6,40.77,39.85,45.82,53.78,62.510000000000005,70.96000000000001,76.22,76.92,73.98888888888888,66.52222222222223,54.5,45.67777777777778,1202.225
cleveland,tn,89.5,47,tennessee,61017,44909,Bradley,72870,597.0,America/New_York,37312 37311 37320,574,581,3.7,3.6,40.77,39.85,45.82,53.78,62.510000000000005,70.96000000000001,76.22,76.92,73.98888888888888,66.52222222222223,54.5,45.67777777777778,552.546
cleveland,oh,90.0,39,ohio,106130,87111,Cuyahoga,1680247,1839.6,America/New_York,44135 44120 44119 44113 44112 44111 44110 44115 44114 44144 44128 44127 44104 44105 44106 44101 44102 44103 44108 44109 44181 44190 44191 44192 44193 44194 44195 44197 44198 44199,564,557,3.61,3.49,31.62,29.04,34.980000000000004,45.16,56.370000000000005,66.25,71.91,72.84,69.56666666666666,61.35555555555556,48.55555555555556,38.25555555555556,1202.225
cleveland,oh,90.0,39,ohio,106130,87111,Cuyahoga,1680247,1839.6,America/New_York,44135 44120 44119 44113 44112 44111 44110 44115 44114 44144 44128 44127 44104 44105 44106 44101 44102 44103 44108 44109 44181 44190 44191 44192 44193 44194 44195 44197 44198 44199,564,557,3.61,3.49,31.62,29.04,34.980000000000004,45.16,56.370000000000005,66.25,71.91,72.84,69.56666666666666,61.35555555555556,48.55555555555556,38.25555555555556,552.546
columbus,ga,88.5,13,georgia,55824,41908,Muscogee,264282,364.8,America/New_York,31820 31829 31909 31904 31905 31906 31907 31901 31903 31808 31902 31908 31914 31917 31993 31995 31997 31998 31999,486,490,3.47,3.26,49.53,49.39,54.55,60.57000000000001,67.63,74.94,79.42,80.11,77.80000000000001,71.45555555555556,61.1,53.58888888888889,979.195
columbus,ga,88.5,13,georgia,55824,41908,Muscogee,264282,364.8,America/New_York,31820 31829 31909 31904 31905 31906 31907 31901 31903 31808 31902 31908 31914 31917 31993 31995 31997 31998 31999,486,490,3.47,3.26,49.53,49.39,54.55,60.57000000000001,67.63,74.94,79.42,80.11,77.80000000000001,71.45555555555556,61.1,53.58888888888889,407.4675
columbus,ga,88.5,13,georgia,55824,41908,Muscogee,264282,364.8,America/New_York,31820 31829 31909 31904 31905 31906 31907 31901 31903 31808 31902 31908 31914 31917 31993 31995 31997 31998 31999,486,490,3.47,3.26,49.53,49.39,54.55,60.57000000000001,67.63,74.94,79.42,80.11,77.80000000000001,71.45555555555556,61.1,53.58888888888889,472.1060000000001
columbus,in,89.1,18,indiana,70164,57088,Bartholomew,50896,689.4,America/Indiana/Indianapolis,47203 47201 47202,501,496,3.41,3.17,31.3,28.85,35.3,45.9,57.15,67.45,72.88,73.28,70.26666666666667,61.977777777777774,48.62222222222223,37.922222222222224,979.195
columbus,in,89.1,18,indiana,70164,57088,Bartholomew,50896,689.4,America/Indiana/Indianapolis,47203 47201 47202,501,496,3.41,3.17,31.3,28.85,35.3,45.9,57.15,67.45,72.88,73.28,70.26666666666667,61.977777777777774,48.62222222222223,37.922222222222224,407.4675
columbus,in,89.1,18,indiana,70164,57088,Bartholomew,50896,689.4,America/Indiana/Indianapolis,47203 47201 47202,501,496,3.41,3.17,31.3,28.85,35.3,45.9,57.15,67.45,72.88,73.28,70.26666666666667,61.977777777777774,48.62222222222223,37.922222222222224,472.1060000000001
columbus,oh,93.9,39,ohio,84971,74612,Franklin,1572546,1581.0,America/New_York,43109 43026 43054 43220 43221 43222 43223 43224 43081 43228 43227 43213 43212 43215 43214 43217 43219 43218 43002 43004 43068 43085 43240 43229 43235 43232 43231 43230 43119 43110 43017 43016 43137 43211 43210 43202 43203 43201 43206 43207 43204 43205 43209 43236 43251 43260 43266 43268 43270 43271 43272 43279 43287 43291,564,557,3.61,3.49,31.62,29.04,34.980000000000004,45.16,56.370000000000005,66.25,71.91,72.84,69.56666666666666,61.35555555555556,48.55555555555556,38.25555555555556,979.195
columbus,oh,93.9,39,ohio,84971,74612,Franklin,1572546,1581.0,America/New_York,43109 43026 43054 43220 43221 43222 43223 43224 43081 43228 43227 43213 43212 43215 43214 43217 43219 43218 43002 43004 43068 43085 43240 43229 43235 43232 43231 43230 43119 43110 43017 43016 43137 43211 43210 43202 43203 43201 43206 43207 43204 43205 43209 43236 43251 43260 43266 43268 43270 43271 43272 43279 43287 43291,564,557,3.61,3.49,31.62,29.04,34.980000000000004,45.16,56.370000000000005,66.25,71.91,72.84,69.56666666666666,61.35555555555556,48.55555555555556,38.25555555555556,407.4675
columbus,oh,93.9,39,ohio,84971,74612,Franklin,1572546,1581.0,America/New_York,43109 43026 43054 43220 43221 43222 43223 43224 43081 43228 43227 43213 43212 43215 43214 43217 43219 43218 43002 43004 43068 43085 43240 43229 43235 43232 43231 43230 43119 43110 43017 43016 43137 43211 43210 43202 43203 43201 43206 43207 43204 43205 43209 43236 43251 43260 43266 43268 43270 43271 43272 43279 43287 43291,564,557,3.61,3.49,31.62,29.04,34.980000000000004,45.16,56.370000000000005,66.25,71.91,72.84,69.56666666666666,61.35555555555556,48.55555555555556,38.25555555555556,472.1060000000001
concord,nh,108.3,33,new hampshire,70852,55781,Merrimack,44049,265.9,America/New_York,03303 03301 03302 03305,531,525,3.42,3.19,23.22,20.85,25.54,35.5,48.25,58.75,65.63,67.75,63.2,54.15555555555555,41.84444444444445,30.700000000000003,633.4350000000001
concord,nh,108.3,33,new hampshire,70852,55781,Merrimack,44049,265.9,America/New_York,03303 03301 03302 03305,531,525,3.42,3.19,23.22,20.85,25.54,35.5,48.25,58.75,65.63,67.75,63.2,54.15555555555555,41.84444444444445,30.700000000000003,418.1025
danville,il,83.9,17,illinois,46943,34671,Vermilion,29100,629.2,America/Chicago,61834 61832,616,599,3.68,3.57,30.31,27.58,34.64,46.15,57.59,68.37,73.99,74.15,71.15555555555555,62.400000000000006,48.48888888888889,37.355555555555554,215.325
danville,il,83.9,17,illinois,46943,34671,Vermilion,29100,629.2,America/Chicago,61834 61832,616,599,3.68,3.57,30.31,27.58,34.64,46.15,57.59,68.37,73.99,74.15,71.15555555555555,62.400000000000006,48.48888888888889,37.355555555555554,969.3250000000002
danville,va,87.1,51,virginia,26700,14468,Danville,42507,383.5,America/New_York,24540 24541,517,518,3.47,3.17,38.42,37.34,42.53,50.66,60.16,68.39,74.15,75.25,71.69999999999999,64.21111111111111,52.6,43.68888888888889,215.325
danville,va,87.1,51,virginia,26700,14468,Danville,42507,383.5,America/New_York,24540 24541,517,518,3.47,3.17,38.42,37.34,42.53,50.66,60.16,68.39,74.15,75.25,71.69999999999999,64.21111111111111,52.6,43.68888888888889,969.3250000000002
decatur,al,88.6,1,alabama,65126,49578,Morgan,57525,406.8,America/Chicago,35603 35601 35602 35609,541,547,3.67,3.47,47.94,47.85,53.67,59.98,67.05,74.59,79.2,79.95,77.9,71.35555555555555,60.15555555555555,52.16666666666666,1133.18
decatur,al,88.6,1,alabama,65126,49578,Morgan,57525,406.8,America/Chicago,35603 35601 35602 35609,541,547,3.67,3.47,47.94,47.85,53.67,59.98,67.05,74.59,79.2,79.95,77.9,71.35555555555555,60.15555555555555,52.16666666666666,352.3675
decatur,il,84.9,17,illinois,36247,27566,Macon,86231,634.0,America/Chicago,62522 62523 62521 62526 62524 62525,616,599,3.68,3.57,30.31,27.58,34.64,46.15,57.59,68.37,73.99,74.15,71.15555555555555,62.400000000000006,48.48888888888889,37.355555555555554,1133.18
decatur,il,84.9,17,illinois,36247,27566,Macon,86231,634.0,America/Chicago,62522 62523 62521 62526 62524 62525,616,599,3.68,3.57,30.31,27.58,34.64,46.15,57.59,68.37,73.99,74.15,71.15555555555555,62.400000000000006,48.48888888888889,37.355555555555554,352.3675
des moines,ia,91.7,19,iowa,120279,300000,Polk,548926,933.4,America/Chicago,50309 50312 50314 50315 50316 50317 50310 50313 50319 50321 50320 50311 50301 50302 50303 50304 50305 50306 50307 50308 50318 50328 50329 50330 50331 50332 50335 50340 50380 50381 50391 50392 50393 50394 50395 50396 50936 50940 50947 50950 50980 50981 50982 50983,602,590,3.77,3.63,23.51,20.47,28.56,41.68,53.55,65.56,72.22999999999999,72.08,68.43333333333334,58.55555555555556,43.91111111111111,31.8,411.0125000000001
des moines,ia,91.7,19,iowa,120279,300000,Polk,548926,933.4,America/Chicago,50309 50312 50314 50315 50316 50317 50310 50313 50319 50321 50320 50311 50301 50302 50303 50304 50305 50306 50307 50308 50318 50328 50329 50330 50331 50332 50335 50340 50380 50381 50391 50392 50393 50394 50395 50396 50936 50940 50947 50950 50980 50981 50982 50983,602,590,3.77,3.63,23.51,20.47,28.56,41.68,53.55,65.56,72.22999999999999,72.08,68.43333333333334,58.55555555555556,43.91111111111111,31.8,435.8805
durham,nc,99.8,37,north carolina,40798,25893,Durham,399616,950.8,America/New_York,27703 27705 27704 27707 27701 27708 27712 27713 27706 27710 27715 27717 27722,505,498,3.54,3.34,43.47,42.73,47.6,54.8,63.46,71.31,76.52000000000001,77.38,74.32222222222222,67.27777777777777,56.15555555555555,48.04444444444445,430.9125
durham,nc,99.8,37,north carolina,40798,25893,Durham,399616,950.8,America/New_York,27703 27705 27704 27707 27701 27708 27712 27713 27706 27710 27715 27717 27722,505,498,3.54,3.34,43.47,42.73,47.6,54.8,63.46,71.31,76.52000000000001,77.38,74.32222222222222,67.27777777777777,56.15555555555555,48.04444444444445,523.5275
fayetteville,nc,89.5,37,north carolina,33422,25039,Cumberland,328804,543.5,America/New_York,28390 28304 28306 28307 28301 28303 28308 28305 28311 28310 28314 28302 28309,505,498,3.54,3.34,43.47,42.73,47.6,54.8,63.46,71.31,76.52000000000001,77.38,74.32222222222222,67.27777777777777,56.15555555555555,48.04444444444445,409.355
fayetteville,nc,89.5,37,north carolina,33422,25039,Cumberland,328804,543.5,America/New_York,28390 28304 28306 28307 28301 28303 28308 28305 28311 28310 28314 28302 28309,505,498,3.54,3.34,43.47,42.73,47.6,54.8,63.46,71.31,76.52000000000001,77.38,74.32222222222222,67.27777777777777,56.15555555555555,48.04444444444445,410.9175
fayetteville,ar,90.4,5,arkansas,47481,43226,Washington,394650,672.8,America/Chicago,72704 72703 72701 72702,572,569,3.73,3.64,42.59,41.59,47.56,56.03,64.47,73.14,78.81,79.6,76.76666666666667,68.85555555555555,56.577777777777776,47.56666666666667,409.355
fayetteville,ar,90.4,5,arkansas,47481,43226,Washington,394650,672.8,America/Chicago,72704 72703 72701 72702,572,569,3.73,3.64,42.59,41.59,47.56,56.03,64.47,73.14,78.81,79.6,76.76666666666667,68.85555555555555,56.577777777777776,47.56666666666667,410.9175
greenville,nc,89.8,37,north carolina,45944,31699,Pitt,127574,906.4,America/New_York,27834 27858 28590 27833 27835 27836,505,498,3.54,3.34,43.47,42.73,47.6,54.8,63.46,71.31,76.52000000000001,77.38,74.32222222222222,67.27777777777777,56.15555555555555,48.04444444444445,360.6625000000001
greenville,nc,89.8,37,north carolina,45944,31699,Pitt,127574,906.4,America/New_York,27834 27858 28590 27833 27835 27836,505,498,3.54,3.34,43.47,42.73,47.6,54.8,63.46,71.31,76.52000000000001,77.38,74.32222222222222,67.27777777777777,56.15555555555555,48.04444444444445,542.16
greenville,sc,95.0,45,south carolina,63183,42074,Greenville,401443,917.9,America/New_York,29614 29607 29605 29601 29609 29602 29603 29604 29612 29616,488,488,3.51,3.32,48.02,47.74,52.620000000000005,59.14,67.11,74.66,79.55,80.25,77.48888888888888,70.68888889,59.833333333333336,51.96666666666667,360.6625000000001
greenville,sc,95.0,45,south carolina,63183,42074,Greenville,401443,917.9,America/New_York,29614 29607 29605 29601 29609 29602 29603 29604 29612 29616,488,488,3.51,3.32,48.02,47.74,52.620000000000005,59.14,67.11,74.66,79.55,80.25,77.48888888888888,70.68888889,59.833333333333336,51.96666666666667,542.16
jackson,mi,87.4,26,michigan,31778,31743,Jackson,82775,1119.2,America/Detroit,49201 49202 49203,610,594,3.76,3.66,23.95,20.21,25.22,35.96,48.440000000000005,60.07000000000001,66.99,68.59,64.69999999999999,55.34444444444445,42.47777777777778,31.47777777777777,359.2425
jackson,mi,87.4,26,michigan,31778,31743,Jackson,82775,1119.2,America/Detroit,49201 49202 49203,610,594,3.76,3.66,23.95,20.21,25.22,35.96,48.440000000000005,60.07000000000001,66.99,68.59,64.69999999999999,55.34444444444445,42.47777777777778,31.47777777777777,469.4175000000001
jackson,ms,87.8,28,mississippi,74570,54047,Hinds,335171,529.9,America/Chicago,39272 39206 39204 39203 39202 39201 39209 39269 39174 39210 39211 39212 39213 39216 39217 39060 39205 39207 39215 39225 39236 39250 39271 39282 39283 39284 39286 39289 39296 39298,567,582,3.79,3.72,48.16,47.86,53.760000000000005,60.44,67.67999999999999,75.42999999999999,80.06,80.72,78.74444444444445,72.0,60.45555555555556,52.333333333333336,359.2425
jackson,ms,87.8,28,mississippi,74570,54047,Hinds,335171,529.9,America/Chicago,39272 39206 39204 39203 39202 39201 39209 39269 39174 39210 39211 39212 39213 39216 39217 39060 39205 39207 39215 39225 39236 39250 39271 39282 39283 39284 39286 39289 39296 39298,567,582,3.79,3.72,48.16,47.86,53.760000000000005,60.44,67.67999999999999,75.42999999999999,80.06,80.72,78.74444444444445,72.0,60.45555555555556,52.333333333333336,469.4175000000001
jackson,tn,85.2,47,tennessee,46069,31827,Madison,72836,446.9,America/Chicago,38305 38301 38303 38314,574,581,3.7,3.6,40.77,39.85,45.82,53.78,62.510000000000005,70.96000000000001,76.22,76.92,73.98888888888888,66.52222222222223,54.5,45.67777777777778,359.2425
jackson,tn,85.2,47,tennessee,46069,31827,Madison,72836,446.9,America/Chicago,38305 38301 38303 38314,574,581,3.7,3.6,40.77,39.85,45.82,53.78,62.510000000000005,70.96000000000001,76.22,76.92,73.98888888888888,66.52222222222223,54.5,45.67777777777778,469.4175000000001
kansas city,mo,91.6,29,missouri,97371,78531,Jackson,1689556,620.7,America/Chicago,64161 64163 64164 64165 64167 64053 64118 64116 64151 64153 64155 64154 64157 64156 64158 64108 64109 64106 64102 64128 64129 64124 64125 64126 64127 64120 64123 64166 64119 64114 64117 64111 64110 64113 64112 64133 64146 64145 64149 64147 64105 64101 64139 64138 64132 64131 64130 64137 64136 64134 64121 64141 64148 64162 64170 64171 64179 64180 64184 64187 64188 64191 64195 64196 64197 64198 64199 64999,599,596,3.7,3.59,34.230000000000004,32.239999999999995,39.18,49.84,59.67999999999999,69.7,75.97,76.3,72.93333333333334,64.07777777777778,50.888888888888886,40.63333333333334,439.5775
kansas city,mo,91.6,29,missouri,97371,78531,Jackson,1689556,620.7,America/Chicago,64161 64163 64164 64165 64167 64053 64118 64116 64151 64153 64155 64154 64157 64156 64158 64108 64109 64106 64102 64128 64129 64124 64125 64126 64127 64120 64123 64166 64119 64114 64117 64111 64110 64113 64112 64133 64146 64145 64149 64147 64105 64101 64139 64138 64132 64131 64130 64137 64136 64134 64121 64141 64148 64162 64170 64171 64179 64180 64184 64187 64188 64191 64195 64196 64197 64198 64199 64999,599,596,3.7,3.59,34.230000000000004,32.239999999999995,39.18,49.84,59.67999999999999,69.7,75.97,76.3,72.93333333333334,64.07777777777778,50.888888888888886,40.63333333333334,577.72
lafayette,la,89.6,22,louisiana,68117,38530,Lafayette,237565,839.2,America/Chicago,70508 70507 70506 70503 70501 70502 70504 70505 70509 70593 70596 70598,561,564,3.65,3.5,51.92,51.77,57.39,63.620000000000005,70.2,77.27000000000001,81.53,82.31,80.56666666666666,74.32222222222222,63.888888888888886,56.16666666666666,382.6825
lafayette,la,89.6,22,louisiana,68117,38530,Lafayette,237565,839.2,America/Chicago,70508 70507 70506 70503 70501 70502 70504 70505 70509 70593 70596 70598,561,564,3.65,3.5,51.92,51.77,57.39,63.620000000000005,70.2,77.27000000000001,81.53,82.31,80.56666666666666,74.32222222222222,63.888888888888886,56.16666666666666,417.7425
lancaster,pa,99.5,42,pennsylvania,73250,300000,Lancaster,402476,3096.9,America/New_York,17603 17602 17601 17608 17622 17699,505,499,3.51,3.33,29.94,27.45,32.61,42.260000000000005,53.75,63.28,69.57000000000001,71.03999999999999,67.13333333333334,58.95555555555556,46.73333333333333,36.71111111111111,449.86
lancaster,pa,99.5,42,pennsylvania,73250,300000,Lancaster,402476,3096.9,America/New_York,17603 17602 17601 17608 17622 17699,505,499,3.51,3.33,29.94,27.45,32.61,42.260000000000005,53.75,63.28,69.57000000000001,71.03999999999999,67.13333333333334,58.95555555555556,46.73333333333333,36.71111111111111,430.3
laredo,tx,90.1,48,texas,30833,300000,Webb,255293,922.7,America/Chicago,78046 78045 78043 78040 78041 78042,487,470,3.44,3.27,48.53,48.62,54.71,62.2,69.42999999999999,77.21000000000001,82.27000000000001,83.28,80.24444444444445,72.61111111111111,61.94444444444444,53.16666666666666,424.93
laredo,tx,90.1,48,texas,30833,300000,Webb,255293,922.7,America/Chicago,78046 78045 78043 78040 78041 78042,487,470,3.44,3.27,48.53,48.62,54.71,62.2,69.42999999999999,77.21000000000001,82.27000000000001,83.28,80.24444444444445,72.61111111111111,61.94444444444444,53.16666666666666,314.07750000000004
